"exuR","uxaB"
"exuR","uxaC"
"exuR","uxuA"
"exuR","uxuB"
"exuR","uxuR"
"fabR","fabA"
"fabR","fabB"
"fadR","fabA"
"fadR","fabB"
"fadR","fadA"
"fadR","fadB"
"fadR","fadD"
"fadR","fadE"
"fadR","fadH"
"fadR","fadI"
"fadR","fadJ"
"fadR","fadL"
"fadR","fadM"
"fadR","iclR"
"fadR","uspA"
"feaR","feaB"
"fhlA","fdhF"
"fhlA","focB"
"fhlA","hycA"
"fhlA","hycB"
"fhlA","hycC"
"fhlA","hycD"
"fhlA","hycE"
"fhlA","hycF"
"fhlA","hycG"
"fhlA","hycH"
"fhlA","hycI"
"fhlA","hydN"
"fhlA","hyfA"
"fhlA","hyfB"
"fhlA","hyfC"
"fhlA","hyfD"
"fhlA","hyfE"
"fhlA","hyfF"
"fhlA","hyfG"
"fhlA","hyfH"
"fhlA","hyfI"
"fhlA","hyfJ"
"fhlA","hyfR"
"fhlA","hypA"
"fhlA","hypB"
"fhlA","hypC"
"fhlA","hypD"
"fhlA","hypE"
"fhlA","hypF"
"fis","acnB"
"fis","acs"
"fis","actP"
"fis","adhE"
"fis","alaT"
"fis","aldB"
"fis","ansB"
"fis","apaG"
"fis","apaH"
"fis","bglB"
"fis","bglF"
"fis","bglG"
"fis","carA"
"fis","carB"
"fis","cspI"
"fis","cysG"
"fis","deoA"
"fis","deoB"
"fis","deoC"
"fis","deoD"
"fis","dmsA"
"fis","dmsB"
"fis","dmsC"
"fis","dps"
"fis","dusB"
"fis","fadA"
"fis","fadB"
"fis","flxA"
"fis","fumB"
"fis","gadA"
"fis","gadB"
"fis","gadC"
"fis","gadX"
"fis","glcC"
"fis","glnA"
"fis","glnG"
"fis","glnL"
"fis","glnQ"
"fis","glpA"
"fis","glpB"
"fis","glpC"
"fis","glpQ"
"fis","glpT"
"fis","gltX"
"fis","glyU"
"fis","grcA"
"fis","guaA"
"fis","guaB"
"fis","gyrA"
"fis","gyrB"
"fis","hlyE"
"fis","hns"
"fis","hupA"
"fis","hupB"
"fis","hyaA"
"fis","hyaB"
"fis","hyaC"
"fis","hyaD"
"fis","hyaE"
"fis","hyaF"
"fis","infB"
"fis","katE"
"fis","lpd"
"fis","malE"
"fis","malF"
"fis","malG"
"fis","marA"
"fis","marB"
"fis","marR"
"fis","mazE"
"fis","mazF"
"fis","mazG"
"fis","mglA"
"fis","mglC"
"fis","msrA"
"fis","mtlA"
"fis","mtlD"
"fis","mtlR"
"fis","nanA"
"fis","nanE"
"fis","nanK"
"fis","nanT"
"fis","narG"
"fis","narH"
"fis","narI"
"fis","narJ"
"fis","narK"
"fis","ndh"
"fis","nirB"
"fis","nirC"
"fis","nirD"
"fis","nrdA"
"fis","nrdB"
"fis","nrfA"
"fis","nrfB"
"fis","nrfC"
"fis","nrfD"
"fis","nrfE"
"fis","nrfF"
"fis","nrfG"
"fis","nuoA"
"fis","nuoB"
"fis","nuoC"
"fis","nuoE"
"fis","nuoF"
"fis","nuoG"
"fis","nuoH"
"fis","nuoI"
"fis","nuoJ"
"fis","nuoK"
"fis","nuoL"
"fis","nuoM"
"fis","nuoN"
"fis","nusA"
"fis","ogt"
"fis","osmE"
"fis","osmY"
"fis","pdxA"
"fis","pflB"
"fis","pnp"
"fis","proK"
"fis","proP"
"fis","ptsG"
"fis","pyrD"
"fis","queA"
"fis","rbfA"
"fis","rimP"
"fis","rnpB"
"fis","rplM"
"fis","rpsI"
"fis","rpsO"
"fis","rrfH"
"fis","rrlG"
"fis","rrsG"
"fis","rrsH"
"fis","rsmA"
"fis","sra"
"fis","topA"
"fis","tpr"
"fis","trg"
"fis","trmA"
"fis","truB"
"fis","xylF"
"fis","xylG"
"fis","xylH"
"fis","xylR"
"fis","yeaR"
"fis","yfaE"
"fis","yjcH"
"fis","yoaG"
"flhC","ccmA"
"flhC","ccmB"
"flhC","ccmC"
"flhC","ccmD"
"flhC","ccmE"
"flhC","ccmF"
"flhC","ccmG"
"flhC","ccmH"
"flhC","flgA"
"flhC","flgB"
"flhC","flgC"
"flhC","flgD"
"flhC","flgE"
"flhC","flgF"
"flhC","flgG"
"flhC","flgH"
"flhC","flgI"
"flhC","flgJ"
"flhC","flgM"
"flhC","flgN"
"flhC","flhA"
"flhC","flhB"
"flhC","flhE"
"flhC","fliA"
"flhC","fliD"
"flhC","fliE"
"flhC","fliF"
"flhC","fliG"
"flhC","fliH"
"flhC","fliI"
"flhC","fliJ"
"flhC","fliK"
"flhC","fliL"
"flhC","fliM"
"flhC","fliN"
"flhC","fliO"
"flhC","fliP"
"flhC","fliQ"
"flhC","fliR"
"flhC","fliS"
"flhC","fliT"
"flhC","glpA"
"flhC","glpB"
"flhC","glpC"
"flhC","gltI"
"flhC","gltJ"
"flhC","gltK"
"flhC","gltL"
"flhC","hydN"
"flhC","hypF"
"flhC","mdh"
"flhC","mglA"
"flhC","mglB"
"flhC","mglC"
"flhC","napA"
"flhC","napB"
"flhC","napC"
"flhC","napD"
"flhC","napF"
"flhC","napG"
"flhC","napH"
"flhC","nrfA"
"flhC","nrfB"
"flhC","nrfC"
"flhC","nrfD"
"flhC","nrfE"
"flhC","nrfF"
"flhC","nrfG"
"flhC","ppdA"
"flhC","ppdB"
"flhC","ppdC"
"flhC","recC"
"flhC","ycgR"
"flhC","yecR"
"flhC","ygbK"
"flhC","ygdB"
"fliZ","csgA"
"fliZ","csgB"
"fliZ","csgC"
"fliZ","csgD"
"fliZ","csgE"
"fliZ","csgF"
"fliZ","csgG"
"fliZ","flhC"
"fliZ","flhD"
"fliZ","gadB"
"fliZ","gadC"
"fliZ","gadE"
"fliZ","hdeA"
"fliZ","hdeB"
"fliZ","mdtE"
"fliZ","mdtF"
"fliZ","mlrA"
"fliZ","osmY"
"fliZ","yhiD"
"fnr","aceE"
"fnr","aceF"
"fnr","acnA"
"fnr","acrE"
"fnr","acrF"
"fnr","adhE"
"fnr","aer"
"fnr","aldA"
"fnr","amtB"
"fnr","ansB"
"fnr","arcA"
"fnr","aspA"
"fnr","aspC"
"fnr","bcsB"
"fnr","bcsZ"
"fnr","cadC"
"fnr","caiA"
"fnr","caiB"
"fnr","caiC"
"fnr","caiD"
"fnr","caiE"
"fnr","caiF"
"fnr","caiT"
"fnr","ccmA"
"fnr","ccmB"
"fnr","ccmC"
"fnr","ccmD"
"fnr","ccmE"
"fnr","ccmF"
"fnr","ccmG"
"fnr","ccmH"
"fnr","cheB"
"fnr","cheR"
"fnr","cheY"
"fnr","cheZ"
"fnr","citC"
"fnr","citD"
"fnr","citE"
"fnr","citF"
"fnr","citG"
"fnr","citX"
"fnr","cydA"
"fnr","cydB"
"fnr","cydC"
"fnr","cydD"
"fnr","cyoA"
"fnr","cyoB"
"fnr","cyoC"
"fnr","cyoD"
"fnr","cyoE"
"fnr","cysG"
"fnr","dcuA"
"fnr","dcuB"
"fnr","dcuC"
"fnr","dcuR"
"fnr","dcuS"
"fnr","dmsA"
"fnr","dmsB"
"fnr","dmsC"
"fnr","dmsD"
"fnr","dpiA"
"fnr","dpiB"
"fnr","dppA"
"fnr","dppB"
"fnr","dppC"
"fnr","dppD"
"fnr","dppF"
"fnr","emrK"
"fnr","emrY"
"fnr","entF"
"fnr","fdhF"
"fnr","fdnG"
"fnr","fdnH"
"fnr","fdnI"
"fnr","feoA"
"fnr","feoB"
"fnr","feoC"
